Region,Appellation,Wines,Total,Progress
-,-,2226,2226,100
Emilia,Sconosciuta,23,23,100
Emilia,Colli D'Imola,20,20,100
Emilia,Modena,18,18,100
Emilia,Reno Pignoletto,6,6,100
Friuli,Collio Friulano,74,74,100
Friuli,Friuli Colli Orientali Ribolla Gialla,56,56,100
Friuli,Collio Ribolla Gialla,46,46,100
Friuli,Friuli Colli Orientali Chardonnay,34,34,100
Friuli,Friuli Isonzo Friulano,26,26,100
Friuli,Friuli Colli Orientali Schioppettino Di Prepotto,17,17,100
Friuli,Friuli Colli Orientali Cabernet Sauvignon,14,14,100
Romagna,Romagna Sangiovese,210,210,100
Toscana,Bolgheri,117,117,100
Trentino,Trento,163,163,100
Valle D'Aosta,Valle D'Aosta,220,220,100
Veneto,Soave,101,101,100
Veneto,Piave Raboso,13,13,100
Emilia,Lambrusco (varie),142,142,100
Veneto,Valpolicella,147,147,100
Veneto,Valpolicella Ripasso,95,95,100
Alto Adige,Alto Adige,684,684,100
